DR Number,Date Reported,Date Occurred,Time Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location,Latitude,Longitude,Zip Codes,Date,Weekday,Month,Year
181820135,10/7/2018,10/7/2018,0910,9:10,18,Southeast,1802,997,TRAFFIC COLLISION,4025 3028 3030 3101 3006 3037,30,Male,Hispanic,101,STREET,91ST                         ST,FIGUEROA                     ST,"{'latitude': '33.9543', 'longitude': '-118.2827', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9543,-118.2827,23675,7-Oct-18,Sunday,October,2018
181110858,5/22/2018,5/22/2018,1010,10:10,11,Northeast,1145,997,TRAFFIC COLLISION,3101 3401 3701 3011 3034,unknown,Male,Hispanic,102,SIDEWALK,GLENEDEN                     ST,RIVERSIDE                    DR,"{'latitude': '34.1031', 'longitude': '-118.2521', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.1031,-118.2521,23670,22-May-18,Tuesday,May,2018
191304468,1/10/2019,1/9/2019,1240,12:40,13,Newton,1341,997,TRAFFIC COLLISION,3101 3401 3701 3003 3025,59,Male,Hispanic,101,STREET,W  JEFFERSON                    BL,BROADWAY,"{'latitude': '34.0192', 'longitude': '-118.2738', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0192,-118.2738,22724,9-Jan-19,Wednesday,January,2019
190608395,3/20/2019,3/19/2019,2150,21:50,6,Hollywood,669,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4006,56,Male,Asian,101,STREET,WESTERN                      AV,S  SANTA MONICA                 BL,"{'latitude': '34.0908', 'longitude': '-118.3092', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0908,-118.3092,23669,19-Mar-19,Tuesday,March,2019
181716394,9/19/2018,9/19/2018,1025,10:25,17,Devonshire,1768,997,TRAFFIC COLLISION,3004 3036 3025 3101 3401 3701 4026,43,Female,Hispanic,101,STREET,BALBOA                       BL,LASSEN                       ST,"{'latitude': '34.2503', 'longitude': '-118.5024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.2503,-118.5024,18914,19-Sep-18,Wednesday,September,2018
190108303,3/4/2019,3/4/2019,1030,10:30,1,Central,112,997,TRAFFIC COLLISION,3101 3401 3701 3004 3034,unknown,Male,Unknown,101,STREET,MAIN                         ST,TEMPLE                       ST,"{'latitude': '34.0541', 'longitude': '-118.2417', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0541,-118.2417,22728,4-Mar-19,Monday,March,2019
181523181,12/21/2018,12/21/2018,1600,16:00,15,N Hollywood,1589,997,TRAFFIC COLLISION,3025 3101 3401 3701 4026 3036 3009,30,Male,White,101,STREET,BARHAM                       BL,CRAIG                        DR,"{'latitude': '34.1352', 'longitude': '-118.3423', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.1352,-118.3423,24033,21-Dec-18,Friday,December,2018
190212451,6/3/2019,6/3/2019,0730,7:30,2,Rampart,251,997,TRAFFIC COLLISION,0605 3101 3401 3701 4002 3004 3026,57,Female,White,101,STREET,RAMPART                      BL,N  3RD                          ST,"{'latitude': '34.0663', 'longitude': '-118.2789', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0663,-118.2789,24352,3-Jun-19,Monday,June,2019
181107107,3/11/2018,3/10/2018,2100,21:00,11,Northeast,1151,997,TRAFFIC COLLISION,3101 3401 3701 3004 3024 3029 3036,32,Female,White,101,STREET,HOLLYWOOD                    BL,PROSPECT                     AV,"{'latitude': '34.1018', 'longitude': '-118.2933', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.1018,-118.2933,23445,10-Mar-18,Saturday,March,2018
181601035,7/7/2018,7/7/2018,0158,1:58,16,Foothill,1621,997,TRAFFIC COLLISION,3003 3036 3025 3101 3401 3701 4016,79,Male,Hispanic,101,STREET,LAUREL CANYON                BL,PAXTON                       ST,"{'latitude': '34.2648', 'longitude': '-118.4385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.2648,-118.4385,18907,7-Jul-18,Saturday,July,2018
180130982,12/23/2018,12/23/2018,0745,7:45,1,Central,118,997,TRAFFIC COLLISION,3101 3401 3701 3006 3030 1501,unknown,Unknown,Unknown,101,STREET,BLOOM,CARDINAL,"{'latitude': '34.0625', 'longitude': '-118.2283', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0625,-118.2283,22728,23-Dec-18,Sunday,December,2018
190904442,1/10/2019,1/9/2019,1400,14:00,9,Van Nuys,914,997,TRAFFIC COLLISION,3006 3030 3028 3032 3101 3401 3701 4009 3037,56,Male,Hispanic,108,PARKING LOT,SHERMAN                      WY,SHERMAN                      CI,"{'latitude': '34.2012', 'longitude': '-118.4509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.2012,-118.4509,19733,9-Jan-19,Wednesday,January,2019
180615117,6/25/2018,6/25/2018,1055,10:55,6,Hollywood,657,997,TRAFFIC COLLISION,3004 3025 3035 3037 3101 3401 3701 4027,70,Male,White,101,STREET,WILTON                       PL,SIERRA VISTA                 AV,"{'latitude': '34.0896', 'longitude': '-118.3136', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0896,-118.3136,23669,25-Jun-18,Monday,June,2018
180127659,11/6/2018,11/6/2018,0800,8:00,1,Central,174,997,TRAFFIC COLLISION,3101 3401 3701 3006 3030,30,Female,Black,101,STREET,8TH                          ST,LOS ANGELES                  ST,"{'latitude': '34.0419', 'longitude': '-118.2523', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0419,-118.2523,23075,6-Nov-18,Tuesday,November,2018
180117361,6/29/2018,6/28/2018,1555,15:55,1,Central,162,997,TRAFFIC COLLISION,3101 3401 3701 3003 3025 1501,38,Male,White,101,STREET,8TH,FLOWER,"{'latitude': '34.0473', 'longitude': '-118.2601', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0473,-118.2601,23078,28-Jun-18,Thursday,June,2018
190313341,5/21/2019,5/21/2019,0750,7:50,3,Southwest,397,997,TRAFFIC COLLISION,4003 3036 3004 3026 3101,36,Female,Hispanic,101,STREET,MARTIN LUTHER KING JR        BL,KANSAS                       AV,"{'latitude': '34.0109', 'longitude': '-118.2933', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0109,-118.2933,23668,21-May-19,Tuesday,May,2019
180321723,9/23/2018,9/23/2018,1650,16:50,3,Southwest,397,997,TRAFFIC COLLISION,4003 3026 3029 3036 3003,unknown,Female,Black,101,STREET,FIGUEROA                     ST,41ST                         ST,"{'latitude': '34.0073', 'longitude': '-118.298', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0073,-118.298,23668,23-Sep-18,Sunday,September,2018
180408876,4/23/2018,4/23/2018,1200,12:00,4,Hollenbeck,459,997,TRAFFIC COLLISION,3101 3401 3701 3011 3030,unknown,Male,White,101,STREET,ALHAMBRA                     AV,WARWICK                      AV,"{'latitude': '34.045', 'longitude': '-118.1956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.045,-118.1956,24028,23-Apr-18,Monday,April,2018
181207661,2/19/2018,2/19/2018,1400,14:00,12,Street 77th,1257,997,TRAFFIC COLLISION,4025 3037 3006 3028 3030 3104,62,Female,Black,108,PARKING LOT,78TH                         ST,FIGUEROA                     ST,"{'latitude': '33.9689', 'longitude': '-118.2827', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9689,-118.2827,23675,19-Feb-18,Monday,February,2018
191010933,6/8/2019,6/8/2019,1110,11:10,10,West Valley,1034,997,TRAFFIC COLLISION,3004 3028 3037 3032 3102 3401 3701 4010,51,Male,Black,101,STREET,ETIWANDA                     AV,SATICOY                      ST,"{'latitude': '34.1835', 'longitude': '-118.5254', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.1835,-118.5254,4286,8-Jun-19,Saturday,June,2019
190900572,3/19/2019,3/19/2019,0400,4:00,9,Van Nuys,923,997,TRAFFIC COLLISION,4009 3006 3028 3030 3037 3101 3401 3701,unknown,Male,Hispanic,101,STREET,VANOWEN                      ST,VESPER                       AV,"{'latitude': '34.1939', 'longitude': '-118.4509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.1939,-118.4509,19733,19-Mar-19,Tuesday,March,2019
181314839,7/3/2018,7/3/2018,0730,7:30,13,Newton,1394,997,TRAFFIC COLLISION,3101 3401 3701 3004 3026 3602,unknown,Male,Hispanic,101,STREET,SAN PEDRO                    ST,68TH                         ST,"{'latitude': '33.9779', 'longitude': '-118.2695', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9779,-118.2695,22352,3-Jul-18,Tuesday,July,2018
190607381,3/1/2019,3/1/2018,1400,14:00,6,Hollywood,643,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3101 3401 3701 4027,58,Male,Other,101,STREET,FULLER                       AV,HAWTHORNE                    AV,"{'latitude': '34.1007', 'longitude': '-118.3494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.1007,-118.3494,23677,1-Mar-18,Thursday,March,2018
180306657,2/10/2018,2/10/2018,0500,5:00,3,Southwest,315,997,TRAFFIC COLLISION,4025 3037 3004 3101 3028,42,Female,Hispanic,101,STREET,ADAMS                        BL,2ND                          AV,"{'latitude': '34.034', 'longitude': '-118.3133', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.034,-118.3133,23079,10-Feb-18,Saturday,February,2018
181225003,10/17/2018,10/17/2018,0700,7:00,12,Street 77th,1205,997,TRAFFIC COLLISION,4025 3037 3006 3028 3030 3101,35,Female,Black,101,STREET,DENKER                       AV,51ST                         ST,"{'latitude': '33.9969', 'longitude': '-118.3046', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9969,-118.3046,24027,17-Oct-18,Wednesday,October,2018
190212118,5/28/2019,5/28/2019,0800,8:00,2,Rampart,235,997,TRAFFIC COLLISION,3101 3401 3701 3006 3030 3032,30,Male,Hispanic,101,STREET,ALVARADO                     ST,BEVERLY                      BL,"{'latitude': '34.0667', 'longitude': '-118.2703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0667,-118.2703,23444,28-May-19,Tuesday,May,2019
181112808,7/1/2018,6/30/2018,1840,18:40,11,Northeast,1117,997,TRAFFIC COLLISION,3101 3401 3701 3004 3026,30,Male,Hispanic,101,STREET,EAGLE ROCK                   BL,NORWALK                      AV,"{'latitude': '34.1324', 'longitude': '-118.2161', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.1324,-118.2161,23672,30-Jun-18,Saturday,June,2018
191408543,3/14/2019,3/14/2019,1650,16:50,14,Pacific,1431,997,TRAFFIC COLLISION,3008 3025 3035 3036 3101 3401 3701 4014,54,Male,White,101,STREET,VENICE                       BL,RIVIERA,"{'latitude': '33.9874', 'longitude': '-118.4685', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9874,-118.4685,25073,14-Mar-19,Thursday,March,2019
190810850,6/5/2019,6/5/2019,2130,21:30,8,West LA,855,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4008,25,Male,White,101,STREET,SANTA MONICA                 BL,SEPULVEDA,"{'latitude': '34.0477', 'longitude': '-118.4443', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0477,-118.4443,23443,5-Jun-19,Wednesday,June,2019
181914375,7/18/2018,7/17/2018,2010,20:10,19,Mission,1982,997,TRAFFIC COLLISION,3006 3037 3030 3028 3101 3401 3701 4026,57,Female,Hispanic,101,STREET,PARTHENIA                    ST,KESTER                       AV,"{'latitude': '34.2301', 'longitude': '-118.4633', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.2301,-118.4633,18914,17-Jul-18,Tuesday,July,2018
